Штрих-код;"Артикул";"Наименование";"Бренд";"ЦенаОпт";"ЦенаРозн";"Страна-производитель";"Размер";"Качественный Состав";"Цвет";"Цвет для фильтра";"Пол";"Сезон";"Сезон для фильтра";"Стиль";"Изображение";"Бок";"Спина";"Доп картинка";"alt картинки";"Что с чем";"Старая цена";"Sale,%";"Новинка";"Архивный";"Luxe";"Опубликован";"В наличии";"Описание товара";"Теги";"Категории Sale";"Категории акций и подарков";"Категории А";"Категории Б";"Категории В";"Категории Г";"Категории Д"
;6890/1015;Юбка вязанная Джанни Мода;Gianni Moda;2720;2158;Италия;Б;30%мохер, 30%полиэстер, 25%акрил, 15%хлопок;Бежевый;бежевый;ж;;Зима;Лето;Демисезон;Повседневный;Романтический;6890_beige_1.jpg;6890_beige_3.jpg;6890_beige_2.jpg;;;;5395;60;1;0;0;1;1;Юбка вязанная,удлиненная на резинке.;удлиненные;hand-made;SALE 60%;;Женская одежда;Юбки;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Б;;Бордовый;бордовый;;;;;6890_purple_1.jpg;6890_purple_3.jpg;6890_purple_2.jpg;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Б;;Коричневый;коричневый;;;;;6890_brown_1.jpg;6890_brown_3.jpg;6890_brown_2.jpg;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Б;;Серый;серый;;;;;6890_grey_1.jpg;6890_grey_3.jpg;6890_grey_2.jpg;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Б;;Синий;синий;;;;;6890_blue_1.jpg;6890_blue_3.jpg;6890_blue_2.jpg;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;Gianni Moda;2720;2158;Италия;Р;30%мохер, 30%полиэстер, 25%акрил, 15%хлопок;Бежевый;бежевый;ж;;Зима;Лето;Демисезон;Повседневный;Романтический;6890_beige_1.jpg;6890_beige_3.jpg;6890_beige_2.jpg;;;;5395;60;1;0;0;1;1;Юбка вязанная,удлиненная на резинке.;удлиненные;hand-made;SALE 60%;;Женская одежда;Юбки;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Р;;Бордовый;бордовый;;;;;6890_purple_1.jpg;6890_purple_3.jpg;6890_purple_2.jpg;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Р;;Коричневый;коричневый;;;;;6890_brown_1.jpg;6890_brown_3.jpg;6890_brown_2.jpg;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Р;;Серый;серый;;;;;6890_grey_1.jpg;6890_grey_3.jpg;6890_grey_2.jpg;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Р;;Синий;синий;;;;;6890_blue_1.jpg;6890_blue_3.jpg;6890_blue_2.jpg;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;